"PC3"	"DU145"	"LNCaP"	"22Rv"	"WPMY1"	"VCaP"	"MDAPCa2b"	"HPV7"	"HPV10"	"RWPE1"	"RWPE2"	"NB11"	"W99"	"PWR1E"	"DUCaP"	"NB26"
"6233"	12.8122272138567	12.8533914398881	12.7233600137909	12.9330204741431	12.838798333227	13.118678376712	12.9261640029691	12.676987589255	12.7817468052651	12.581836393243	12.5256431400023	12.8280782808052	12.8248245496953	12.9319471805328	12.9181067279161	12.5147491194208
"6207"	13.3613079892324	13.2122634184914	13.5405982773415	13.4052532858501	13.4863475053073	13.4407231711341	13.5273419845529	13.3153469427328	13.3471499923942	13.2170869793056	13.2358311554587	13.352881572319	13.4557515138608	13.3562612737275	13.3663039381796	13.1886452240913
"2197"	12.7813669547975	12.5143343425085	12.6799535097086	12.7503860780604	12.6841482072891	13.1550535761554	12.1514297142626	12.2334441083214	12.3888631704949	12.0159900253581	12.1131239195711	12.7598225701219	12.3948933611278	12.4151634648445	13.2052255064941	12.6128295735086
"23435"	8.68839113909553	8.28674623296989	8.49099770099522	8.89611334358732	8.98366696000891	8.70487332201035	8.09207981455576	7.96477266326118	8.00024308506906	8.48123815530834	8.49693283540278	8.30430134407897	8.58357255624905	9.05317012640642	9.20439314184487	8.36342983811421
"1072"	13.747760916284	13.4694071584991	13.3247054988483	13.328300854893	13.533467509133	13.3807740719292	13.3473562590382	13.41251035512	13.3492658522159	13.4730375775387	13.4823632486253	13.6667181958283	13.4774183343417	13.0002883263629	13.8055553026199	13.7166926177923
"6141"	9.21074176722688	9.55794092257149	9.6637780575403	9.75954136421615	9.56203606775481	9.74094048024863	9.60387261040395	9.56382953684532	9.39042590415525	9.41732327784122	9.45440211766646	9.37181033625693	9.50960590203869	9.55504690034593	9.76554483872179	9.26315592641192
"8665"	7.54367936654775	7.332203929573	7.67457956098451	7.72563862520551	7.8523943041822	7.87342954910561	7.42527989811361	7.60094476777027	7.74201288067675	7.47500988937758	7.59881603648214	7.76565074098265	7.69832657227999	7.85768698855219	7.48504539718579	7.47118224654092
"6193"	13.5279241730311	13.1702838915726	13.4270115068098	13.4078214198486	12.258468875741	13.64644775552	13.1211933259474	13.0055431198703	13.0734651660992	12.7458429979958	12.7228489876282	13.0231015218747	13.1713370440253	13.1669237098279	13.3161635801277	12.5956176488829
"6155"	12.8056712739746	13.322019822365	13.5839604001985	13.4133348592322	13.2042215767342	13.5829819615949	13.4024717114249	13.0287856229331	13.0751559595053	13.0086298207896	12.9165854178644	13.1902515122802	13.275419778594	13.3190565824464	13.3551256679121	12.9406037854724
"6164"	12.060492737849	12.8736459543776	13.1314742782107	12.8239583967129	12.7815395300486	13.3215248877829	12.9251694249609	12.771917157244	12.6405840410844	12.7800862709422	12.6661680905977	12.9314894752176	12.8614956913647	12.9067264373867	12.856869984721	12.3751783560842
"4677"	11.4562170810063	11.0811835971581	12.0209132583193	11.8262530087488	11.3597120805195	11.2354202828044	11.5331234720968	11.2813545588942	11.4821194015014	10.5485937987966	11.2036141363204	10.2561961900446	11.0503402250061	11.3208236925112	11.3482670753655	10.3660786884622
"56910"	10.4390729699984	9.98303977897623	10.4298455436593	10.6212777306304	10.5335973917082	10.7612644000397	11.045962492104	9.54065021550568	9.84648605431812	9.7983826086524	9.75229270251582	9.87511735556366	9.95900288438541	10.4462101700345	10.532048691018	9.73560715656703
"6143"	12.7801614228007	13.2695228296558	13.3259789834712	13.1466258704225	13.1532652485242	13.6409348785528	12.9681806138466	12.8510932008224	12.8444134408442	12.6456470916517	12.5783809253327	12.7637533841433	12.9443448773044	13.3394902761309	13.5287852481509	12.5612067208281
"5250"	12.5020676591465	12.4765661281953	12.5235363434898	12.7984429471383	12.4279242436892	12.66480886417	12.4240304446827	12.2503302566726	12.164619235657	12.058463123175	12.232129234072	12.4108226045013	12.2394068496222	12.4274360148924	12.7852058723172	12.4356812290329
"6205"	10.849971153182	10.8314953478994	11.1064178897526	11.0600673816847	10.8567011991968	11.0222334775349	10.8828750812268	10.8538049366863	10.8030104950876	10.9845890571085	10.8394996898651	10.7977591095628	10.9150243168611	10.71450380876	11.0845175195026	10.6900980863152
"6133"	13.0065275697561	13.507751395948	13.5004403199962	13.4196700209459	13.2236451453943	13.5777222001705	13.5050177569855	13.1104263044226	13.1651888751752	13.0388990089826	12.9144021883558	13.2156440977157	13.2369822949325	13.3749309943294	13.4117108012027	13.0181044115148
"1655"	12.2818782908481	11.8424469363732	12.0296448807141	11.9076702047752	11.9135073503893	11.5834663892476	12.0505656087596	12.0939492233241	11.9252058509308	12.1912886300487	12.0424109856849	12.0015906023805	11.9058216105978	11.9796341504432	11.8636016597467	12.2419533290271
"6128"	12.9363975354259	12.8019014535255	13.1273651783445	13.0119633522981	12.9433677945833	13.1542372666069	12.853906732348	12.6591827647725	12.6857830534915	12.5747910594398	12.3858188634924	12.6785969054382	12.8219697529884	12.8698885748027	13.067021698545	12.7025846276847
"23399"	7.82444779737693	8.60185380850489	8.1311239630976	8.2878447764257	8.30867627662122	7.62846662318143	8.26109253456477	7.92191398522489	7.86261755859552	7.64423806668766	7.80462326811851	7.7442505290342	7.76434098678697	8.72958144185559	7.94879418417705	7.6197171781072
"4736"	12.4576510779615	12.9865278225778	12.9993841867957	12.9660782343592	12.6039852145529	13.2241479164846	13.2624352168266	12.3967991118118	12.3704691256518	12.3132441613368	12.1622284565139	12.3828894475403	12.2679195496295	12.8516032564891	12.6890450381988	12.0123492061618
"11335"	11.0787824653202	10.7689885046607	11.260243241165	11.5064464499702	10.807263763369	11.308683087566	10.5682657699597	10.5284108403552	10.4648456033298	11.1349562156148	10.1152768601603	11.1173876383307	11.1245607739787	10.8654762805034	11.0598538613932	10.3718759691709
"6139"	11.071564966439	11.4744346909423	11.7454835773417	11.5314473546589	11.6386988688961	11.4381696482163	11.5652822613184	11.5324550911496	11.4478761139756	10.8122660762001	11.3109531598828	10.8565915197898	11.6157003300073	11.8677497447954	11.7870424239694	10.6055720396838
