5685	0.987	5713	35	35
5685	0.999	5683	35	43
5685	0.989	5691	35	34
5685	0.999	5695	35	28
5685	0.973	5700	35	37
5685	0.999	5687	35	43
5685	0.984	5717	35	34
5685	0.999	5689	35	38
5685	0.971	729	35	4
5685	0.969	5709	35	34
5685	0.999	5694	35	18
5685	0.999	5686	35	30
5685	0.999	5692	35	36
5685	0.976	5701	35	36
5685	0.991	9861	35	36
5685	0.955	5702	35	36
5685	0.983	5707	35	38
5685	0.951	5708	35	37
5685	0.962	5705	35	40
5685	0.999	5682	35	32
5685	0.971	56984	35	2
5685	0.961	8454	35	42
5685	0.992	7316	35	322
5685	0.986	5718	35	38
5685	0.999	5693	35	24
5685	0.982	51377	35	45
5685	0.999	5688	35	33
5685	0.996	5690	35	34
5685	0.998	51371	35	13
5685	0.995	10213	35	43
5685	0.965	5719	35	34
5685	0.976	5706	35	36
3937	0.999	5335	24	42
3937	0.97	7305	24	15
3937	0.959	5588	24	8
3937	0.995	867	24	67
3937	0.991	7535	24	14
3937	0.999	4690	24	32
3937	0.999	7409	24	41
3937	0.958	51206	24	5
3937	0.999	2533	24	7
3937	0.998	3932	24	61
3937	0.999	2885	24	101
3937	0.999	9402	24	9
3937	0.979	5336	24	14
3937	0.958	919	24	19
3937	0.995	2534	24	83
3937	0.994	10451	24	4
3937	0.996	7410	24	15
3937	0.999	6850	24	51
3937	0.978	7454	24	18
3937	0.977	7006	24	6
3937	0.995	11184	24	11
3937	0.998	5777	24	37
3937	0.999	3702	24	15
1634	0.999	7040	8	44
1634	0.967	2006	8	8
1634	0.953	7057	8	11
1634	0.977	1462	8	3
1634	0.978	1956	8	83
1634	0.966	2200	8	3
1634	0.973	2335	8	47
1634	0.972	1805	8	1
2978	0.997	3000	1	2
2896	0.973	6590	1	2
9341	0.999	8773	6	11
9341	0.955	10228	6	7
9341	0.998	6810	6	11
9341	0.998	6809	6	6
9341	0.995	2054	6	5
9341	0.95	10134	6	3
10911	0.971	4922	1	14
5954	0.986	11130	2	45
5954	0.986	79003	2	32
5982	0.966	990	24	48
5982	0.953	5427	24	20
5982	0.95	3364	24	9
5982	0.999	5981	24	15
5982	0.954	54962	24	9
5982	0.997	5424	24	25
5982	0.977	3978	24	8
5982	0.965	10714	24	10
5982	0.969	1111	24	40
5982	0.999	5984	24	31
5982	0.984	2237	24	27
5982	0.984	4176	24	43
5982	0.951	55215	24	19
5982	0.953	5883	24	12
5982	0.963	57804	24	9
5982	0.975	79075	24	5
5982	0.993	5426	24	23
5982	0.977	5557	24	23
5982	0.993	5422	24	29
5982	0.999	5111	24	95
5982	0.996	5983	24	26
5982	0.99	5884	24	14
5982	0.977	5425	24	12
5982	0.999	5985	24	28
9603	0.956	4097	1	3
5318	0.978	3728	2	20
5318	0.986	1832	2	4
3556	0.997	3554	5	11
3556	0.997	3553	5	22
3556	0.996	7850	5	4
3556	0.987	3654	5	26
3556	0.969	4615	5	21
3631	0.959	5295	1	69
51564	0.985	8841	3	33
51564	0.975	4205	3	11
51564	0.975	9612	3	29
6141	0.97	8664	61	37
6141	0.969	3646	61	38
6141	0.994	6223	61	67
6141	0.997	6207	61	73
6141	0.993	6209	61	77
6141	0.979	27335	61	30
6141	0.992	6217	61	79
6141	0.99	25873	61	50
6141	0.978	8666	61	43
6141	0.992	6155	61	56
6141	0.998	11224	61	65
6141	0.998	6132	61	87
6141	0.986	6123	61	43
6141	0.987	6167	61	54
6141	0.962	8667	61	43
6141	0.996	6188	61	83
6141	0.983	2197	61	47
6141	0.994	6156	61	64
6141	0.993	6159	61	48
6141	0.986	6228	61	61
6141	0.995	6203	61	64
6141	0.975	6137	61	14
6141	0.978	1938	61	42
6141	0.991	6138	61	56
6141	0.986	6169	61	53
6141	0.965	8665	61	35
6141	0.99	6208	61	76
6141	0.998	6124	61	68
6141	0.976	6210	61	48
6141	0.989	6181	61	52
6141	0.985	6227	61	55
6141	0.997	6175	61	69
6141	0.993	6201	61	56
6141	0.994	6122	61	53
6141	0.994	6157	61	62
6141	0.994	6133	61	72
6141	0.983	6176	61	51
6141	0.981	6218	61	48
6141	0.978	6146	61	49
6141	0.989	6204	61	53
6141	0.953	2107	61	28
6141	0.95	8662	61	31
6141	0.993	6136	61	58
6141	0.997	6125	61	70
6141	0.994	6130	61	65
6141	0.971	8668	61	51
6141	0.996	6135	61	103
6141	0.956	8894	61	38
6141	0.993	6194	61	81
6141	0.954	6152	61	30
6141	0.987	9349	61	94
6141	0.983	6235	61	65
6141	0.993	6202	61	61
6141	0.984	6160	61	55
6141	0.977	7311	61	99
6141	0.991	6165	61	56
6141	0.983	6234	61	50
6141	0.979	6158	61	46
6141	0.986	6229	61	56
6141	0.986	6168	61	56
7544	0.962	7404	2	5
7544	0.957	8287	2	5
3784	0.984	3757	5	14
3784	0.988	9992	5	2
